customer_id,loan_category,loan_amount,interest_rate,tenure_months,employment_type,annual_income,credit_score,existing_loans,age,monthly_obligations,emi_to_income_ratio,loan_to_income_ratio,Defaulter
CUST_000001,Vehicle,213000,12.44,36,Private Sector,200000,568,2,38,1442,0.355,1.065,0
CUST_000002,Business Expansion,248000,9.86,240,Government,200000,712,1,21,24849,0.062,1.24,0
CUST_000003,Education Loan,484000,9.86,18,Government,200000,537,0,38,2053,1.6133,2.42,0
CUST_000004,Credit Card,917000,10.91,12,Unemployed,200000,800,0,36,8463,4.585,4.585,0
CUST_000005,Mortgage,595000,9.98,12,Private Sector,222926.02,607,1,25,8975,2.669,2.669,0
CUST_000006,Mortgage,633000,12.32,12,Business Owner,200000,,1,24,19918,3.165,3.165,0
CUST_000007,Medical,534000,7.95,12,Freelancer,200000,582,3,37,17532,2.67,2.67,1
CUST_000008,Credit Card,77000,14.99,120,Freelancer,200000,783,1,30,2127,0.0385,0.385,0
CUST_000009,Education Loan,444000,9.03,18,Government,200000,688,1,37,22582,1.48,2.22,0
CUST_000010,Business Expansion,535000,8.73,18,Government,200000,754,1,50,,1.7833,2.675,1
CUST_000011,Credit Card,729000,17.08,36,Government,,606,1,30,18864,1.215,3.645,1
CUST_000012,Business Expansion,101000,11.48,84,Freelancer,200000,,3,31,20986,0.0721,0.505,0
CUST_000013,Vehicle,213000,16.02,60,Freelancer,200000,743,1,36,22692,0.213,1.065,0
CUST_000014,Business Expansion,667000,4,36,Private Sector,200000,532,0,41,16917,1.1117,3.335,0
CUST_000015,Vehicle,164000,13.18,6,Freelancer,200000,765,0,24,2241,1.64,0.82,0
CUST_000016,Mortgage,910000,4.58,180,Government,200000,742,0,37,18663,0.3033,4.55,0
CUST_000017,Medical,979000,7.04,60,Freelancer,200000,732,2,28,2743,0.979,4.895,1
CUST_000018,Education Loan,642000,6.18,24,Government,319954.48,646,0,36,17529,1.0033,2.0065,0
CUST_000019,Mortgage,925000,10.62,60,Government,200000,666,1,26,24269,0.925,4.625,0
CUST_000020,Mortgage,482000,8.73,12,Government,200000,720,0,54,573,2.41,2.41,0
CUST_000021,Medical,854000,9.03,84,Private Sector,200000,724,2,31,22920,0.61,4.27,0
CUST_000022,Education Loan,715000,12.13,60,Business Owner,218709.07,571,0,25,6183,0.6538,3.2692,0
CUST_000023,Credit Card,815000,12.66,60,Private Sector,200000,696,2,40,15925,0.815,4.075,0
CUST_000024,Vehicle,147000,11.61,18,Government,,501,1,46,12193,0.49,0.735,0
CUST_000025,Education Loan,95000,8.98,120,Government,200000,613,0,51,10256,0.0475,0.475,0
CUST_000026,Education Loan,621000,14.52,24,Private Sector,200000,613,3,41,7509,1.5525,3.105,0
CUST_000027,Mortgage,725000,16.03,240,Private Sector,200000,639,2,26,15122,0.1812,3.625,0
CUST_000028,Credit Card,814000,5.55,18,Freelancer,208480.2,455,0,58,11249,2.603,3.9044,1
CUST_000029,Vehicle,645000,4.56,240,Government,200000,784,1,44,23269,0.1612,3.225,0
CUST_000030,Vehicle,858000,9.89,18,Business Owner,200000,,1,33,18634,2.86,4.29,0
CUST_000031,Mortgage,511000,4.51,120,Government,200000,714,4,52,11998,0.2555,2.555,0
CUST_000032,Education Loan,304000,8.3,6,Private Sector,200000,627,1,42,24404,3.04,1.52,0
CUST_000033,Credit Card,186000,10.18,120,Business Owner,200000,792,1,40,11417,0.093,0.93,0
CUST_000034,Business Expansion,673000,14.12,84,Government,200000,652,2,46,20791,0.4807,3.365,0
CUST_000035,Vehicle,561000,8.23,18,Private Sector,200000,704,0,22,17966,1.87,2.805,0
CUST_000036,Mortgage,794000,10.81,36,Government,200000,698,0,48,21857,1.3233,3.97,0
CUST_000037,Credit Card,942000,7.67,180,Freelancer,276667.23,682,0,33,1073,0.227,3.4048,0
CUST_000038,Business Expansion,140000,13.55,6,Private Sector,272797.85,785,1,52,9825,1.0264,0.5132,1
CUST_000039,Education Loan,108000,15.54,18,Freelancer,200000,673,1,21,19768,0.36,0.54,0
CUST_000040,Mortgage,901000,17.22,60,Business Owner,200000,695,1,30,,0.901,4.505,1
CUST_000041,Education Loan,941000,14.61,18,Government,200000,493,1,31,21884,3.1367,4.705,1
CUST_000042,Credit Card,923000,9.13,24,Government,200000,677,0,35,24047,2.3075,4.615,1
CUST_000043,Business Expansion,404000,8.7,12,,326514.94,563,1,43,24747,1.2373,1.2373,0
CUST_000044,Business Expansion,491000,11.97,12,Freelancer,364059.2,599,0,41,9178,1.3487,1.3487,0
CUST_000045,Credit Card,133000,10.05,180,Government,200000,,0,64,3131,0.0443,0.665,0
CUST_000046,Business Expansion,68000,14.61,180,Private Sector,200000,705,0,55,8125,0.0227,0.34,1
CUST_000047,Mortgage,160000,10.29,120,Government,200000,650,0,41,24128,0.08,0.8,0
CUST_000048,Mortgage,512000,9.31,84,Private Sector,200000,693,0,36,3592,0.3657,2.56,0
CUST_000049,Vehicle,265000,4,12,Government,,690,1,48,3008,1.325,1.325,0
CUST_000050,Credit Card,437000,10.21,36,Freelancer,200000,647,0,26,21014,0.7283,2.185,0
CUST_000051,Medical,554000,12.28,36,Freelancer,,779,1,26,3421,0.9233,2.77,0
CUST_000052,Business Expansion,949000,11.96,6,Freelancer,200000,554,0,45,20633,9.49,4.745,0
CUST_000053,Vehicle,219000,9.07,120,Business Owner,200000,625,1,50,13600,0.1095,1.095,0
CUST_000054,Mortgage,605000,10.65,18,Freelancer,200000,682,1,35,17596,2.0167,3.025,0
CUST_000055,Vehicle,444000,14.1,120,Business Owner,200000,508,2,39,4940,0.222,2.22,1
CUST_000056,Education Loan,514000,9.99,24,Private Sector,200000,651,0,49,5486,1.285,2.57,0
CUST_000057,Education Loan,518000,4,240,Private Sector,200000,692,1,32,15389,0.1295,2.59,0
CUST_000058,Vehicle,178000,14.69,84,Business Owner,200000,547,2,28,2199,0.1271,0.89,0
CUST_000059,Education Loan,162000,8.99,24,,200000,772,0,53,21897,0.405,0.81,0
CUST_000060,Credit Card,928000,12.19,6,Business Owner,200000,716,0,34,9911,9.28,4.64,0
CUST_000061,Mortgage,945000,16.69,180,Private Sector,,,1,41,14955,0.315,4.725,0
CUST_000062,Medical,99000,4.49,36,Private Sector,200000,646,1,48,22933,0.165,0.495,0
CUST_000063,Mortgage,424000,11.09,36,Freelancer,218479.41,549,0,21,23469,0.6469,1.9407,0
CUST_000064,Education Loan,993000,9.37,12,Unemployed,200000,664,2,46,1118,4.965,4.965,0
CUST_000065,Medical,161000,12.75,60,Government,200000,732,0,41,9772,0.161,0.805,0
CUST_000066,Education Loan,590000,12.34,12,Freelancer,200000,688,0,29,11149,2.95,2.95,0
CUST_000067,Education Loan,924000,11.03,36,Government,200000,730,2,26,20718,1.54,4.62,0
CUST_000068,Vehicle,537000,5.13,240,Government,200000,707,0,28,6414,0.1342,2.685,0
CUST_000069,Credit Card,385000,9.05,120,Freelancer,200000,626,1,32,6608,0.1925,1.925,0
CUST_000070,Medical,820000,12.74,18,Government,200000,627,2,32,5515,2.7333,4.1,0
CUST_000071,Medical,828000,9.86,24,Private Sector,200000,666,0,24,16343,2.07,4.14,1
CUST_000072,Mortgage,93000,9.63,84,Private Sector,200000,,2,35,10382,0.0664,0.465,0
CUST_000073,Medical,357000,6.43,12,Private Sector,435910.81,751,0,35,17791,0.819,0.819,0
CUST_000074,Medical,682000,9.73,6,Unemployed,200000,734,0,44,4939,6.82,3.41,1
CUST_000075,Business Expansion,741000,4.89,12,Freelancer,200000,545,0,58,23638,3.705,3.705,0
CUST_000076,Mortgage,90000,11.85,180,Government,200000,610,0,49,14738,0.03,0.45,0
CUST_000077,Vehicle,68000,8.05,6,Government,200000,743,0,25,,0.68,0.34,0
CUST_000078,Business Expansion,97000,10.41,180,Freelancer,285758.99,717,0,21,10225,0.0226,0.3394,0
CUST_000079,Vehicle,638000,15.86,240,Private Sector,200000,603,1,44,21989,0.1595,3.19,0
